Go.	Inda !
Run!	Matuka !
Run!	Totonka !
Wow!	Wow !
Fire!	Omlilo !
Help!	Kwathela !
Jump.	Nuka.
Stop!	Thikama !
Stop!	Okuthikama !
Stop!	Thikama !
Wait!	Telela !
Wait!	Okutelela !
I see.	Ondiweteko.
I try.	Ondakambadhala.
I won!	Ondasindana !
I won!	Ondasindana !
Oh no!	Oh aye !
Attack!	Okuponokela !
Attack!	Ponokela !
Cheers!	Oshilinawa !
Cheers!	Oshilinawa !
Cheers!	Oshilinawa !
Get up.	Thikamapo.
Got it!	Ondeshimona !
Got it!	Ondeshimona !
Got it?	Oweshimona ?
Got it?	Oweshimona ?
Got it?	Oweshimona ?
Hop in.	Nukilamo.
Hop in.	Nukilamo.
Hug me.	Papatelandje !
Hug me.	Papatelandje !
I fell.	Ondiihatapo.
I fell.	Ondiihatapo.
I know.	Ondishishi.
I left.	Ondaya.
I left.	Ondaya.
I lost.	Inandi sindana.
I'm 19.	Ondina oovula omulongo nomugoyi.
I'm OK.	Ondili nawa.
I'm OK.	Ondili nawa.
Listen.	Pulakena !
No way!	Aawe !
No way!	Kapena we ompito.
No way!	Aawe !
No way!	Kapena we ompito !
No way!	Aawe !
No way!	Kapena we ompito !
No way!	Aawe !
Really?	Osho ?
Really?	Osho ngaa ?
Really?	Osho tuu ?
Thanks.	Ndapandula !
We try.	Otatu kambadhala.
We won.	Otwa sindanene.
We won.	Otwa sindanene.
We won.	Otwa sindanene.
We won.	Otwa sindanene.
Ask Tom.	Pula Tom.
Awesome!	Oshiwanawa !
Be calm.	Ngungumana !
Be calm.	Mwena !
Be calm.	Ngungumana !
Be cool.	Inda pevi !
Be fair.	Oshuukilako !
Be fair.	Oshuukilako !
Be fair.	Oshuukilako !
Be fair.	Oshuukilako !
Be fair.	Oshuukilako !
Be fair.	Oshuukilako !
Be kind.	Ne simaneko.
Be nice.	Kala wuli nawa !
Be nice.	Kala nawa !
Be nice.	Kala omuwanawa !
Be nice.	Kala wuli nawa !
Be nice.	Kala omuwanawa !
Be nice.	Kala nawa !
Beat it.	Shi dhenga !
Call me.	Ithana ndje !
Call me.	Dhenge landje !
Call us.	Twi ithana !
Call us.	Tu dhengela !
Come in.	Ila mo !
Come in.	Pita.
Come in.	Ila mo !
Come in.	Pita !
Come on!	Tuningeni !
Come on.	Ituyeni !
Come on.	Natuyeni !
Come on.	Ila !
Drop it!	Tulapo !
Drop it!	Etha !
Drop it!	Sheetha !
Drop it!	Shitulapo !
Get out!	Zamo !
Get out!	Zamo moka !
Get out!	Zamo !
Get out.	Zamo moka.
Get out.	Zamo.
Go away!	Inda !
Go away!	Inda kokule !
Go away.	Inda mpeyaka !
Go away.	Zapo !
Go away.	Zapo mpoka !
Go away.	Inda !
Go away.	Inda kokule.
Go away.	Inda mpeyaka !
Go away.	Zapo !
Go away.	Zapo mpoka !
Go slow.	Enda kashona !
Go slow.	Enda kashona !
Goodbye!	Kalapo nawa.
Hang on!	Tegelela manga !
Hang on!	Andiya manga !
Hang on.	Iikwatelela !
Hang on.	Iikwatelela !
He quit.	Okwaya.
He quit.	Okwetha.
He runs.	Okwa matukapo.
Help me!	Kwathelandje !
Help me.	Yambidhidhandje.
Help me.	Kwathelandje.
Help us.	Tuyambidhidha !
Help us.	Tukwathela !
Hold it!	Shikwata !
Hold on.	Tegelela.
I agree.	Twatsakumwe.
I tried.	Ondakambadhala.
I tried.	Ondakambadhalele.
I tried.	Ondli ndakambadhala.
I'll go.	Otandiyi.
I'm fat.	Onda ondoka.
I'm fat.	Ondili nawa kolutu.
I'm fit.	Onda pama.
I'm hit!	Onda dhengwa !
I'm hit!	Onda yahwa !
I'm ill.	Otandi ehama.
I'm sad.	Onduvite nayi.
I'm shy.	Ondasa ohoni.
I'm wet.	Onda tuta.
I'm wet.	Onda tuta.
It's me!	Ongame !
Join us.	Tuhanganeni.
Join us.	Tuhanganeni.
Keep it.	Oshoye !
Keep it.	Shipungula !
Kiss me.	Hupita ndje.
Kiss me.	Hupita ndje.
Me, too.	Nangame.
Open up.	Patulula !
Open up.	Patululapo.
Perfect!	Oshilinawa !
See you.	Oshiwete.
Show me.	Ulikilandje !
Show me.	Ulikilandje !
Shut up!	Mwena !
Shut up!	Pata !
Shut up!	Mwena !
Shut up!	Mwena !
Shut up!	Pata !
So long.	Otwiweteni !
Take it.	Shikufapo !
Take it.	Kufapo !
Tell me.	Lombwelandje !
Tell me.	Lombwelandje !
Tom won.	Tom okwasindana.
Wake up!	Penduka !
Wake up!	Fikama !
Wake up!	Penduka !
Wake up.	Pendukapo !
Wake up.	Pendukeni !
Wash up.	Koshapo !
Wash up.	Iyoga !
We know.	Otushishi.
We lost.	Inatu sindana.
We lost.	Inatu monamosha.
We lost.	Otwadhengwa.
We lost.	Inatu sindana.
We lost.	Inatu monamosha.
We lost.	Otwadhengwa.
We lost.	Inatu sindana.
We lost.	Inatu monamosha.
We lost.	Otwadhengwa.
We lost.	Inatu sindana.
Who won?	Olye a sindana ?
Who won?	Olye a monamosha ?
You run.	Omatuka.
Am I fat?	Onda hondoka ?
Am I fat?	Ondina olutu ulnene ?
Back off.	Shuna monima !
Back off.	Inda.
Back off.	Shuna monima !
Back off.	Inda.
Be a man.	Kala onlumentu !
Be a man.	Kala onsamane !
Be still.	Ngungumana !
Be still.	Ino inyenga !
Be still.	Ino kulukuta !
Beats me.	Kandishishi.
Beats me.	Kandishiwo.
Call Tom.	Ithana Tom.
Call Tom.	Dhengela Tom.
Cheer up!	Inuva nayi !
Cool off!	Inda pevi !
Cuff him.	Mumanga.
